"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Jin C.; Wu Z.; Li G.; Luo Z.; Li N.-W.","Jin, Caiyun (59747828700); Wu, Zexuan (59748602900); Li, Guopeng (57452627900); Luo, Zhan (59747828800); Li, Nian-Wu (35424297400)","59747828700; 59748602900; 57452627900; 59747828800; 35424297400","Phosphazene-based flame-retardant artificial interphase layer for lithium metal batteries","2025","Wuli Huaxue Xuebao/ Acta Physico - Chimica Sinica","41","8","100094","","","8","10.1016/j.actphy.2025.100094","https://www.scopus.com/pages/publications/105003203436?origin=resultslist","The rapid development of emerging fields such as electric vehicles, drones, and robotics has driven the demand for secondary batteries with higher energy density and enhanced safety. The lithium metal anode (LMA) is widely regarded as an ideal anode material for next-generation rechargeable batteries due to its high specific capacity (3860 ​mA ​h·g−1) and low redox potential (−3.04 ​V vs. standard hydrogen electrode). However, LMA faces significant challenges, primarily the uncontrollable growth of dendrites and its inherent propensity for thermal runaway. To address these issues, this study proposes a novel silsesquioxane-functionalized hexaphenoxycyclotriphosphazene (HPCTP)-based porous polymer (SHPP) artificial interphase layer, synthesized via Friedel-Crafts alkylation, to achieve highly stable LMA performance. N2 adsorption/desorption analysis confirms that SHPP features a hierarchical nanoporous structure, with pores of approximately 0.5 and 0.6 ​nm that effectively restrict the mobility of PF6− anions. As a result, the Li-ion transference number increases from 0.29 in liquid electrolytes to 0.60, which helps suppress Li dendrite growth. Additionally, the rich nanoporous structure of SHPP significantly improves its wettability with the electrolyte. In situ thermogravimetric analysis coupled with Fourier transform infrared spectroscopy (TG-FTIR) reveals that SHPP decomposes at approximately 410 ​°C, generating phosphate radicals (PO•) that quench highly reactive hydroxyl (HO•) and oxygen (O•) radicals produced during the thermal decomposition of ester-based electrolytes, effectively mitigating thermal runaway risks. Thermal analysis and ignition tests confirm the outstanding thermal stability and flame-retardant properties of SHPP. Semi-in situ X-ray photoelectron spectroscopy (XPS) analysis indicates that the solid electrolyte interphase (SEI) on bare Li metal is predominantly organic and undergoes significant compositional fluctuations during cycling. In contrast, the SEI formed on SHPP-Li is enriched with Li phosphide (Li3P), which enhances ionic conductivity, and Li fluoride (LiF), which improves chemical stability, resulting in a compositionally stable SEI throughout cycling. SHPP not only facilitates interfacial Li-ion transport but also promotes the formation of a chemically robust interphase. In situ optical microscopy and semi-in situ field-emission scanning electron microscopy (FE-SEM) images demonstrate that the SHPP artificial interphase effectively suppresses Li dendrite growth, enabling uniform Li deposition. As a result, SHPP-Li||SHPP-Li symmetric cells exhibit stable cycling for 1600 ​h at 0.5 ​mA ​cm−2 and 0.5 ​mA ​h·cm−2. Furthermore, SHPP-Li||LiNi0·8Co0·1Mn0·1O2 full cells maintain a high capacity retention of 76.8% after 500 cycles at 1 ​C (1 ​C ​= ​190 ​mA ​g−1). This flame-retardant artificial interphase layer offers a promising strategy for designing dendrite-free and safe LMAs. © 2025 College of Chemistry and Molecular Engineering, Peking University","Flame retardant; Hexaphenoxycyclotriphosphazene; Lithium dendrite; Lithium metal battery; Lithium-ion transport","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105003203436"
"Chang S.-C.; Su G.-H.; Cheng Y.-S.; Yang Z.-Z.; Liu Y.-H.","Chang, Sheng-Chieh (59546480700); Su, Guan-Hao (59203367200); Cheng, Yu-Shan (9437460800); Yang, Zong-Zhen (35794196300); Liu, Yi-Hua (60535173000)","59546480700; 59203367200; 9437460800; 35794196300; 60535173000","Development of a Lithium-Ion Battery Self-Heating System for Low-Temperature Operation Using a Multi-Software Simulation Platform","2026","2026 International Power Electronics Conference, IPEC-Nagasaki 2026 - ECCE Asia","","","","","","0","10.23919/IPEC-Nagasaki2026-EC64663.2026.11597317","https://www.scopus.com/pages/publications/105046091479?origin=resultslist","Lithium-ion batteries are critical for electric vehicles and underwater drones; however, their performance degrades significantly at low temperatures due to increased internal resistance and reduced capacity. To mitigate this issue, a battery heating system based on an interleaved buck-boost converter was designed and analyzed. A simulation framework combining MATLAB®/Simulink® and COMSOL Multiphysics® was developed, where MATLAB®/Simulink® modeled the circuit operation and generated current waveforms, which were subsequently imported into a COMSOL® thermal model to evaluate the battery's temperature evolution and spatial distribution. The target battery configuration was a 2-series, 1-parallel module. After confirming circuit behavior and heating performance through simulations, a hardware prototype of the interleaved buck- boost heating system was implemented for experimental validation. Furthermore, sensitivity analyses were conducted under varying ambient temperatures and switching frequencies. Experimental results demonstrated that heating performance improves under low-temperature and low-frequency conditions, primarily due to enhanced Joule heating effects arising from increased internal resistance and current fluctuation. © 2026 IEEJ-IAS.","battery heating system; interleaved buck-boost converter; Lithium-ion battery; low-temperature environment; thermal model","Battery management systems; Heating equipment; Joule heating; Low temperature operations; MATLAB; Sensitivity analysis; Simulation platform; Temperature; Thermal management (electronics); Thermography (temperature measurement); Battery heating; Battery heating system; Buck/boost converters; Heating system; Interleaved buck-boost converter; Ion batteries; Lithium ions; Low temperature environment; Lows-temperatures; Thermal model; Lithium-ion batteries","Conference paper","Final","","Scopus","2-s2.0-105046091479"
"Çinar H.; Ignatyev D.; Zolotas A.","Çinar, H. (57222627986); Ignatyev, D. (56418371500); Zolotas, A. (6507380551)","57222627986; 56418371500; 6507380551","A comprehensive review and future challenges of energy-aware path planning for small unmanned aerial vehicles with hydrogen-powered hybrid propulsion","2025","Aeronautical Journal","129","1336","","1468","1493","10","10.1017/aer.2025.11","https://www.scopus.com/pages/publications/105002173288?origin=resultslist","Unmanned aerial vehicles (UAVs) with fully electric propulsion systems mainly use lithium-based batteries. However, using fuel cells, hybrid propulsion systems are created to improve the flight time and payload capacity of the UAVs. Energy management and energy-aware path planning are important aspects to be explored in hybrid-propulsion powered UAV configurations. These facilitate optimal power distribution among energy sources and motion planning considering energy consumption, respectively. In the literature, although there are many studies on the energy management of hybrid-powered UAVs and path planning of only battery-powered UAVs, there are research gaps in energy-aware path planning of hybrid-powered UAVs. Additionally, the energy management of hybrid-powered UAVs is usually considered independent of path planning in the literature. This paper thoroughly reviews recent energy-aware path planning for small UAVs to address the listed critical challenges above, providing a new perspective and recommendations for further research. Firstly, this study evaluates the recent status of path planning, hydrogen-based UAVs, and energy management algorithms and identifies some challenges. Later, the applications of hydrogen-powered UAVs are summarised. In addition, hydrogen-based hybrid power system topologies are defined for small UAVs. Then, the path-planning algorithms are classified, and existing studies are discussed. Finally, this paper provides a comprehensive and critical assessment of the status of energy-aware path planning of UAVs, as well as detailed future work recommendations for researchers. C The Author(s), 2025.","Energy-aware path planning; energy/power management; fuel cell-based hybrid propulsion; intelligent control; unmanned aerial vehicles","Battery management systems; Hybrid power; Hybrid vehicles; Lithium batteries; Motion planning; Power distribution planning; Unmanned aerial vehicles (UAV); Aerial vehicle; Cell-based; Energies (power); Energy aware; Energy-aware path planning; Energy/power management; Fuel cell-based hybrid propulsion; Hybrid propulsion; Small unmanned aerial vehicles; Unmanned aerial vehicle; Energy utilization","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105002173288"
"Babu N.; Virgili M.; Al-Jarrah M.; Jing X.; Alsusa E.; Popovski P.; Forsyth A.; Masouros C.; Papadias C.B.","Babu, Nithin (57202009940); Virgili, Marco (57218845766); Al-Jarrah, Mohammad (57212398292); Jing, Xiaoye (57219605634); Alsusa, Emad (23007808700); Popovski, Petar (6603618176); Forsyth, Andrew (7006863084); Masouros, Christos (23009493900); Papadias, Constantinos B. (8751989500)","57202009940; 57218845766; 57212398292; 57219605634; 23007808700; 6603618176; 7006863084; 23009493900; 8751989500","Energy-Efficient Trajectory Design of a Multi-IRS Assisted Portable Access Point","2023","IEEE Transactions on Vehicular Technology","72","1","","611","622","7","10.1109/TVT.2022.3202953","https://www.scopus.com/pages/publications/85137549266?origin=resultslist","In this article, we propose a framework for energy efficient trajectory design of an unmanned aerial vehicle (UAV)-based portable access point (PAP) deployed to serve a set of ground nodes (GNs). In addition to the PAP and GNs, the system consists of a set of intelligent reflecting surfaces (IRSs) mounted on man-made structures to increase the number of bits transmitted per Joule of energy consumed measured as the global energy efficiency (GEE). The GEE trajectory for the PAP is designed by considering the UAV propulsion energy consumption and the Peukert effect of the PAP battery, which represents an accurate battery discharge profile as a non-linear function of the UAV power consumption profile. The GEE trajectory design problem is solved in two phases: in the first, a path for the PAP and feasible positions for the IRS modules are found using a multi-tier circle packing method, and the required IRS phase shift values are calculated using an alternate optimization method that considers the interdependence between the amplitude and phase responses of an IRS element; in the second phase, the PAP flying velocity and user scheduling are calculated using a novel multi-lap trajectory design algorithm. Numerical evaluations show that: neglecting the Peukert effect overestimates the available flight time of the PAP; after a certain threshold, increasing the battery size reduces the available flight time of the PAP; the presence of IRS modules improves the GEE of the system compared to other baseline scenarios; the multi-lap trajectory saves more energy compared to a single-lap trajectory developed using a combination of sequential convex programming and Dinkelbach algorithm.  © 1967-2012 IEEE.","Energy-efficiency; IRS; trajectory optimization; UAV communication","Antennas; Convex optimization; Electric discharges; Energy efficiency; Functions; Lead acid batteries; Numerical methods; Trajectories; Unmanned aerial vehicles (UAV); Access points; Aerial vehicle; Battery; Discharge (electric); Energy-consumption; Global energy; Lead-acid battery; Receiver; Reflecting surface; Trajectory designs; Energy utilization","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85137549266"
"Babu B.H.; Kumar I.; Naveen; Singh M.K.; Sarojwal A.; Vidhya R.G.","Babu, Bachina Harish (59399932500); Kumar, Indradeep (57213150187); Naveen (57200760861); Singh, Mukul Kumar (57208207693); Sarojwal, Atul (57845685800); Vidhya, R.G. (57751176300)","59399932500; 57213150187; 57200760861; 57208207693; 57845685800; 57751176300","Propelling the Future: Advanced Electric Propulsion Systems for Unmanned Aerial Vehicles","2024","2nd International Conference on Sustainable Computing and Smart Systems, ICSCSS 2024 - Proceedings","","","","5","9","21","10.1109/ICSCSS60660.2024.10625489","https://www.scopus.com/pages/publications/85203108461?origin=resultslist","Due to their numerous uses in industries including surveillance, agriculture, mapping, and delivery services, unmanned aerial vehicles (UAVs) have attracted a lot of attention in recent years. With many benefits over conventional internal combustion engines, electric propulsion systems have emerged as a promising UAV powering option. The issues associated with their design, performance, and integration are highlighted in this paper's thorough examination of electric propulsion systems for UAVs. The paper discuss about electric motors, power electronics, and energy storage devices as important elements of electric propulsion systems. The suitability of various motor types for UAV applications is examined, including brushed, brushless, and synchronous motors. In addition, the article covers several power electronics topologies, including inverters and motor drives, highlighting their function in the regulation of the electric propulsion system. It also analyzes several energy storage techniques, including fuel cells and lithium-ion batteries, and evaluates the energy density, weight, and effectiveness of each. The issues of temperature management, weight considerations, and system efficiency optimization are also discussed in the study as they relate to the integration of electric propulsion systems into UAVs. It also discusses current developments in electric propulsion technology, including regenerative braking and energy harvesting strategies, that aim to improve overall efficiency and lengthen the flying duration of UAV s. © 2024 IEEE.","Electric Propulsion; Flight Control; Fuel Cells/Battery; unmanned aerial vehicles","Control system synthesis; Electric motors; Electric variables control; Ferroelectric RAM; Invariance; Ion propulsion; Root loci; Spatial variables control; Aerial vehicle; Delivery service; Electric propulsion systems; Energy; Flight control; Fuel cell batteries; Mapping service; Power-electronics; Surveillance services; Unmanned aerial vehicle; Unmanned aerial vehicles (UAV)","Conference paper","Final","","Scopus","2-s2.0-85203108461"
"Shibl M.M.; Ismail L.S.; Massoud A.M.","Shibl, Mostafa M. (57219566799); Ismail, Loay S. (6507656995); Massoud, Ahmed M. (7006870160)","57219566799; 6507656995; 7006870160","A machine learning-based battery management system for state-of-charge prediction and state-of-health estimation for unmanned aerial vehicles","2023","Journal of Energy Storage","66","","107380","","","78","10.1016/j.est.2023.107380","https://www.scopus.com/pages/publications/85153564722?origin=resultslist","Unmanned aerial vehicles (UAVs) are becoming more popular as they start to be utilized in many applications, such as surveillance, agriculture, and military. However, due to their limited battery capacity, a proper battery management system (BMS) is required to avoid flight delays and crashes, which can be highly expensive in terms of cost and time. SoC prediction and SoH estimation can help ensure the arrival of UAVs to their destination and increase the lifetime and efficiency of the battery. A UAV BMS is based on machine learning (ML), where the ML models predict the SoC and estimate the SoH based on the voltage and current of the battery, and ambient temperature. Deep Neural Networks (DNN) and Long Short-Term Memory (LSTM) are utilized for SoC prediction as a regression problem, and Random Forest (RF) was utilized for SoH estimation through a classification problem with four classes. The results verified the reliability of the ML models due to their high accuracy. The estimation of SoC using the DNN model had a low mean squared error of 7.6E−4 and a high explained variance score of 0.98. In addition, the prediction of SoC using the LSTM model had a low mean squared error of 0.023 and a high explained variance score of 0.97. Moreover, the RF model achieved a high accuracy of 0.92 at classifying SoH. Regarding the practical implementation, the system was deployed through the utilization of a drone, ESP32 microcontrollers, a Raspberry Pi gateway, and a cloud server, which proved the reliability and effectiveness of the ML-based BMS. © 2023 Elsevier Ltd","Battery management system; Deep neural network; Drones; Machine learning; Random forest; State of charge; State of health; Unmanned aerial vehicles","Antennas; Battery management systems; Charging (batteries); Deep neural networks; Forecasting; Gateways (computer networks); Learning algorithms; Learning systems; Long short-term memory; Mean square error; Military applications; Military vehicles; Secondary batteries; Vehicle transmissions; Aerial vehicle; Battery capacity; High-accuracy; Machine learning models; Machine-learning; Mean squared error; Random forests; State of health; States of charges; Unmanned aerial vehicle; Drones","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85153564722"
"Sözbir N.; Bulut M.; San F.G.B.","Sözbir, Nedim (7801574348); Bulut, Murat (36627863400); San, Fatma Gül Boyacı (58874889400)","7801574348; 36627863400; 58874889400","Regenerative Fuel Cell Systems for Aerospace Applications: A Short Review","2026","Journal of Thermal Science and Engineering Applications","18","9","091012","","","1","10.1115/1.4071173","https://www.scopus.com/pages/publications/105037182742?origin=resultslist","Hydrogen has emerged as a promising energy carrier for aerospace applications due to its high specific energy and suitability for long-duration missions. Fuel cells (FCs), electrolyzers, and regenerative fuel cell systems (RFCSs) represent key electrochemical technologies within aerospace energy architectures, enabling power generation, gas production, and energy storage. This review examines these three classes of electrochemical systems within a unified, system-level framework tailored to aerospace applications. Fuel cell technologies are reviewed for power generation in applications such as landers, aircraft, unmanned aerial vehicles (UAVs), auxiliary power units (APUs), and stationary backup systems. Proton exchange membrane (PEM) electrolysis is discussed as a viable approach for hydrogen and oxygen production to support both terrestrial infrastructure and onboard aerospace operations. Regenerative fuel cell systems, which integrate an electrolyzer and a fuel cell to enable cyclic energy storage, are then evaluated as advanced energy storage solutions. A system-level comparison between RFCSs and state-of-the-art, space-qualified lithium-ion battery systems is presented based on reported specific energy, system mass, and discharge-duration data. The analysis highlights that RFCSs offer advantages in specific energy and total system mass under long discharge-duration conditions, making them particularly suitable for extended aerospace missions. Key technical challenges and design considerations, including system integration, energy density, and operational performance, are also discussed. Overall, this review provides a coherent assessment of electrochemical energy systems and clarifies the potential role of regenerative fuel cell technologies in future long-duration and sustainable aerospace energy applications. Copyright © 2026 by ASME.","aerospace power systems; electrolyzer; fuel cell; heat and mass transfer; regenerative fuel cell","Aerospace applications; Auxiliary power systems; Electric discharges; Electrolytic cells; Energy conservation; Energy storage; Fighter aircraft; Fuel systems; Gas fuel storage; Hydrogen production; Mass transfer; Proton exchange membrane fuel cells (PEMFC); Reviews; Unmanned aerial vehicles (UAV); Aerospace power systems; Electrolyzers; Energy; Energy systems; Fuel cell system; Fuel cell technologies; Heat and mass transfer; Power- generations; Specific energy; System levels; Regenerative fuel cells","Review","Final","","Scopus","2-s2.0-105037182742"
"de Jong C.P.L.; Remes B.D.W.; Hwang S.; De Wagter C.","de Jong, Chris PL (57361350700); Remes, Bart DW (36626379500); Hwang, Sunyou (57195275865); De Wagter, Christophe (7004233067)","57361350700; 36626379500; 57195275865; 7004233067","Never landing drone: Autonomous soaring of a unmanned aerial vehicle in front of a moving obstacle","2021","International Journal of Micro Air Vehicles","13","","","","","5","10.1177/17568293211060500","https://www.scopus.com/pages/publications/85120529176?origin=resultslist","Increasing endurance is a major challenge for battery-powered aerial vehicles. A method is presented which makes use of an updraft around obstacles to decrease the power consumption of a fixed-wing unmanned aerial vehicle. A soaring flight controller has been developed that can autonomously soar while the unmanned aerial vehicle keeps its relative position to that of a moving object. Multiple simulations have been performed to analyse the limitations of the soaring controller under different conditions. The effect of a change in wind velocity and updraft has been analysed. The simulations showed that an increase in updraft decreases the energy consumption of the flight controller. An increase in wind velocity results in a higher updraft requirement, while a decrease in the wind velocity requires less updraft. The simulations achieved sustained flight at 0% throttle. The controller has been validated experimentally using the updraft generated by a moving ship. The practical, autonomous tests reduced the average throttle down to 4.5% in front of a ship. The method presented in this study achieved successful hovering flight using an energy control module for longitudinal positioning. © The Author(s) 2021.","fixed-wing; flight control; orographic lift; practical tests; simulation; Soaring; updraft","Antennas; Controllers; Drones; Energy utilization; Fixed wings; Flight simulators; Ships; Battery powered; Flight control; Flight controllers; Moving obstacles; Orographic lifts; Practical tests; Simulation; Soaring; Updraft; Wind velocities; Wind","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85120529176"
"Wu Q.; Deng W.; Jia H.; Liu H.; Zhang S.; Wang Z.; Chi B.","Wu, Qixiu (57884559400); Deng, Wei (37041123400); Jia, Haikun (55260988200); Liu, Hongzhuo (57956720800); Zhang, Shiwei (58072205500); Wang, Zhihua (55000510700); Chi, Baoyong (7005370163)","57884559400; 37041123400; 55260988200; 57956720800; 58072205500; 55000510700; 7005370163","8.1 An 11.5-to-14.3GHz 192.8dBc/Hz FoM at 1MHz Offset Dual-Core Enhanced Class-F VCO with Common-Mode-Noise Self-Cancellation and Isolation Technique","2023","Digest of Technical Papers - IEEE International Solid-State Circuits Conference","2023-February","","","146","148","25","10.1109/ISSCC42615.2023.10067672","https://www.scopus.com/pages/publications/85151712205?origin=resultslist","The current 5G and future 6G high-speed mobile-Internet era puts forward stricter requirements on the power consumption, silicon area, and phase noise specifications for local oscillators (LOs) in mobile and portable devices, especially in battery-powered mobile phones, notebook computers, and unmanned aerial vehicles (UAVs) used for mobile base stations. Over the past few decades, intensive research to improve the power efficiency of RF and millimeter-wave oscillators while maintaining required phase-noise characteristic has been carried out. As represented in Fig. 8.1.1, the authors in [1] reported a BiCMOS series-resonance VCO with the lowest phase noise among silicon-based oscillators identified in [1] at the cost of high power consumption (600mW), which is not feasible for energy-efficient applications. In addition to the series resonance technique, the commonly used method to reduce the phase noise is to introduce a high resistance at the second harmonic frequency. However, the head filter in [2] that generates the high resistance occupies additional area and cannot prevent noise current injection at the GND. Although separate filters are added at the VDD and GND, as reported in [3], the noise current passing through the head common-mode inductance is coupled in the same phase to the noise current of the bottom inductance, which increases the total injected noise to some extent. To solve the problem of the additional area for the common-mode resonator, the authors in [4] merged the common-mode filter with the differential-mode resonator at the cost of the reduced switching speed of the gate and worsened phase noise and the ability to cut off the noise-injection path from the VDD coupled to the gate. In order to overcome the above-mentioned issues, a 11.5-to-14.3GHz dual-core Class-F VCO with common-mode-noise self-cancellation and isolation technique is proposed in this paper. Without occupying additional area, the injection noise of the VDD and the GND is cancelled inherently at the same time, and the noise path from the drain to gate is isolated. The measurement results indicate that the proposed common-mode-noise self-cancellation and isolation VCO achieves -119.2dBc/Hz phase noise at 1MHz offset from a carrier of 11.8GHz, which translates to an FoM of 192.8dBc/Hz. The reported FoM is competitive among VCOs operating in a nearby frequency range. © 2023 IEEE.","","5G mobile communication systems; Antennas; Electric power utilization; Energy efficiency; Inductance; Millimeter waves; Resonators; Variable frequency oscillators; Cancellation techniques; Common-mode noise; Commonmode; Dual-core; High resistance; Isolation techniques; Noise current; Phase-noise; Self-cancellation; Series resonance; Phase noise","Conference paper","Final","","Scopus","2-s2.0-85151712205"
"Ramkumar P.; Kumar A.; Muthumari S.; Vivek C.M.","Ramkumar, P. (57213564949); Kumar, Atul (59226122800); Muthumari, S. (59225470600); Vivek, C.M. (57215183450)","57213564949; 59226122800; 59225470600; 57215183450","Green hydrogen as a fuel in UAVs: an extended range operational pathway for sustainability","2024","Interactions","245","1","166","","","1","10.1007/s10751-024-01996-w","https://www.scopus.com/pages/publications/85199084371?origin=resultslist","The possible use of green hydrogen as an unmanned aerial vehicle (UAV) fuel source is examined in this research. This investigation is used to compare with the conventional battery-powered and internal combustion engine UAVs in terms of operational and environmental benefits. The study outline focus on the important benefits of green hydrogen, because of its high energy density, which allows in far longer flight lengths, its zero-emission operation, which promotes environmental sustainability, and its very silent operation, which permits covert operations. The research also examines storage and infrastructural issues that arise when integrating hydrogen fuel cells into unmanned aerial vehicles. The study concludes by out reaching the current research and development initiatives aimed at resolving these issues and opening the door for a larger uptake of green hydrogen in the UAV sector. This research is an important step towards long-range, sustainable UAV operations, advancing several industries, including commercial delivery, environmental monitoring, and search and rescue operations. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2024.","Endurance; Green Hydrogen; Hydrogen fuel cells; UAV","Antennas; Fuel cells; Hydrogen fuels; Hydrogen storage; Internal combustion engines; Sustainable development; Aerial vehicle; Battery powered; Conventional batteries; Extended range; Fuel source; Green hydrogen; Hydrogen fuel cells; Operational benefits; Unmanned aerial vehicle; Vehicle fuels; Unmanned aerial vehicles (UAV)","Article","Final","","Scopus","2-s2.0-85199084371"
